+1 to +30,CAI,Instability,length,meanElongation,microarray,normalizedInitRate,tAI,translationRate,Half-life,Start,Stop,Type,uAUG,Protein,pro/micro,predicted_pro/micro,predicted_Protein,,,,,
-5.5,0.84,31.71073,317,0.134863315,11.94900689,0.032493001,0.2419,0.007136994,0,0,0,0,0,1591,133.1491407,28.91936131,208.9249344,77,144,,,0.653571815
-1.6,0.846,34.15439,638,0.137257162,12.39274088,0.379868337,0.2557,0.00758582,0,0,0,0,0,2657,214.3997059,37.15023526,267.8454051,33,45,,,
-3.1,0.806,30.00773,388,0.127093382,6.417009891,0.018604151,0.1997,0.00640939,1,1,2,0,0,3.98,0.620226565,3.15951846,22.83301085,1226,1291,,,
-3.8,0.805,59.71724,87,0.138360295,10.56928862,0.038927452,0.2782,0.007869089,0,2,0,0,0,1190,112.590359,40.51313945,292.6793674,113,18,,,
-4,0.815,38.9262,313,0.128002274,9.436546856,0.027716508,0.2148,0.006894113,1,0,0,0,0,22.2,2.352555478,6.179216688,44.63585063,978,1122,,,
0,0.817,33.19659,938,0.133341554,10.91808361,0.262966908,0.235,0.007260442,0,0,2,0,0,314,28.75962588,24.07439289,173.5571487,407,259,,,
-2.6,0.789,49.56159,164,0.127418566,8.113695069,0.002768137,0.21,0.002220854,0,0,0,0,0,0.992,0.122262421,4.223516918,30.54530395,1446,1237,,,
-4.7,0.839,22.00147,273,0.130229861,8.494302967,0.006016013,0.2301,0.003868789,0,0,0,0,0,199,23.42746671,13.54234421,97.86833079,463,708,,,
-3.5,0.818,30.91518,382,0.131352457,9.287819432,0.281266663,0.2201,0.007165994,0,2,0,0,0,287,30.90068687,17.49865198,126.0188619,384,480,,,
0,0.795,35.53175,504,0.124911054,1.906197147,0.06833518,0.2128,0.006858728,1,0,0,0,0,0.035,0.018361165,-4.029570293,-29.18620564,1582,1567,,,
-1.5,0.829,35.27969,256,0.130390373,2.12345313,0.092589404,0.2213,0.007223418,1,0,0,0,2,1.01,0.475640355,14.14855734,102.111808,1265,669,,,
-2.8,0.797,35.66388,443,0.123926781,2.389839239,0.467862622,0.2108,0.006817978,0,0,0,0,0,0.03,0.012553146,-6.948309779,-50.90339344,1595,1622,,,
-5.6,0.815,42.60252,159,0.128963216,6.174265507,0.039726886,0.2238,0.007132222,0,0,0,0,0,48.9,7.919970391,9.373885165,67.69827772,759,939,,,
-2.4,0.768,38.2448,125,0.124490746,6.98522722,0.379868337,0.2162,0.007202319,0,0,0,0,0,7.18,1.027883528,-5.154978351,-37.80802158,1127,1594,,,
-4.2,0.818,38.99487,273,0.129861439,6.055266404,0.002017431,0.2206,0.001687837,0,0,0,0,0,70,11.56018502,12.31803913,89.02907632,666,781,,,
-0.9,0.799,41.28508,784,0.1303669,8.211735784,0.012404071,0.2265,0.005338413,1,0,2,0,0,45.6,5.553028154,14.00194577,101.1788694,825,678,,,
-3.9,0.792,39.96884,783,0.127633148,2.325281523,0.019216796,0.2137,0.00641606,0,1,2,0,0,0.182,0.078270093,4.948715155,35.75891816,1493,1191,,,
-4.5,0.826,41.88958,566,0.128659676,2.826010359,0.011295729,0.2152,0.005447685,0,0,0,0,0,1.53,0.541399289,8.343613689,60.29939914,1245,1002,,,
-1.2,0.787,33.73425,292,0.126595394,3.057147506,0.07640321,0.1905,0.00704655,0,0,0,0,1,3.33,1.08925068,1.558902876,11.17757257,1115,1380,,,
-2.5,0.79,39.85767,574,0.127270764,9.676382539,0.038276063,0.2133,0.00703522,0,0,2,0,0,140,14.46821676,3.764210409,27.17089418,603,1261,,,
